city,loc,pop,state,zip
AGAWAM,-72.622739,15338,MA,1001
CUSHMAN,-72.51565,36963,MA,1002
BARRE,-72.108354,4546,MA,1005
BELCHERTOWN,-72.410953,10579,MA,1007
BLANDFORD,-72.936114,1240,MA,1008
BRIMFIELD,-72.188455,3706,MA,1010
CHESTER,-72.988761,1688,MA,1011
CHESTERFIELD,-72.833309,177,MA,1012
CHICOPEE,-72.607962,23396,MA,1013
CHICOPEE,-72.576142,31495,MA,1020
WESTOVER AFB,-72.558657,1764,MA,1022
CUMMINGTON,-72.905767,1484,MA,1026
MOUNT TOM,-72.679921,16864,MA,1027
EAST LONGMEADOW,-72.505565,13367,MA,1028
FEEDING HILLS,-72.675077,11985,MA,1030
GILBERTVILLE,-72.198585,2385,MA,1031
GOSHEN,-72.844092,122,MA,1032
GRANBY,-72.520001,5526,MA,1033
TOLLAND,-72.908793,1652,MA,1034
HADLEY,-72.571499,4231,MA,1035
HAMPDEN,-72.431823,4709,MA,1036
HATFIELD,-72.616735,3184,MA,1038
HAYDENVILLE,-72.703178,1387,MA,1039
HOLYOKE,-72.626193,43704,MA,1040
HUNTINGTON,-72.873341,2084,MA,1050
LEEDS,-72.703403,1350,MA,1053
LEVERETT,-72.499334,1748,MA,1054
LUDLOW,-72.471012,18820,MA,1056
MONSON,-72.319634,8194,MA,1057
FLORENCE,-72.654245,27939,MA,1060
OAKHAM,-72.051265,1503,MA,1068
PALMER,-72.328785,9778,MA,1069
PLAINFIELD,-72.918289,571,MA,1070
RUSSELL,-72.840343,608,MA,1071
SHUTESBURY,-72.421342,1533,MA,1072
SOUTHAMPTON,-72.719381,4478,MA,1073
SOUTH HADLEY,-72.581137,16699,MA,1075
SOUTHWICK,-72.770588,7667,MA,1077
THREE RIVERS,-72.362352,2425,MA,1080
WALES,-72.204592,1732,MA,1081
WARE,-72.258285,9808,MA,1082
MONTGOMERY,-72.754318,40117,MA,1085
WEST SPRINGFIELD,-72.641109,27537,MA,1089
WEST WARREN,-72.203639,4441,MA,1092
WILBRAHAM,-72.446415,12635,MA,1095
WILLIAMSBURG,-72.777989,2295,MA,1096
WORTHINGTON,-72.931427,877,MA,1098
SPRINGFIELD,-72.588735,2323,MA,1103
SPRINGFIELD,-72.577769,22115,MA,1104
SPRINGFIELD,-72.578312,14970,MA,1105
LONGMEADOW,-72.5676,15688,MA,1106
SPRINGFIELD,-72.606544,12739,MA,1107
SPRINGFIELD,-72.558432,25519,MA,1108
SPRINGFIELD,-72.554349,32635,MA,1109
SPRINGFIELD,-72.527445,14618,MA,1118
SPRINGFIELD,-72.51211,13040,MA,1119
SPRINGFIELD,-72.488903,3272,MA,1128
SPRINGFIELD,-72.487622,6831,MA,1129
INDIAN ORCHARD,-72.505048,8702,MA,1151
PITTSFIELD,-73.247088,50655,MA,1201
ADAMS,-73.117225,9901,MA,1220
ASHLEY FALLS,-73.320195,561,MA,1222
BECKET,-73.120325,1070,MA,1223
CHESHIRE,-73.157964,3094,MA,1225
DALTON,-73.160259,7357,MA,1226
GREAT BARRINGTON,-73.36065,10603,MA,1230
PERU,-73.092433,2559,MA,1235
HOUSATONIC,-73.374544,802,MA,1236
HANCOCK,-73.248737,2328,MA,1237
LEE,-73.231696,6916,MA,1238
LENOX,-73.271322,5001,MA,1240
MIDDLEFIELD,-73.006226,384,MA,1243
WEST OTIS,-73.213452,329,MA,1245
CLARKSBURG,-73.10999,19054,MA,1247
OTIS,-73.082093,1060,MA,1253
RICHMOND,-73.364457,1134,MA,1254
SANDISFIELD,-73.116285,651,MA,1255
SAVOY,-73.023281,632,MA,1256
SHEFFIELD,-73.361091,1839,MA,1257
SOUTH EGREMONT,-73.456575,135,MA,1258
SOUTHFIELD,-73.260933,622,MA,1259
STOCKBRIDGE,-73.322263,2200,MA,1262
WEST STOCKBRIDGE,-73.38251,1173,MA,1266
WILLIAMSTOWN,-73.20364,8220,MA,1267
WINDSOR,-73.04661,770,MA,1270
LEYDEN,-72.601847,18968,MA,1301
ASHFIELD,-72.810998,1535,MA,1330
NEW SALEM,-72.214644,14077,MA,1331
LEYDEN,-72.563439,2426,MA,1337
BUCKLAND,-72.764124,16,MA,1338
HAWLEY,-72.880162,1325,MA,1339
COLRAIN,-72.726508,2050,MA,1340
CONWAY,-72.702473,1524,MA,1341
DEERFIELD,-72.607234,1281,MA,1342
ERVING,-72.416638,635,MA,1344
HEATH,-72.839101,174,MA,1346
MILLERS FALLS,-72.494626,1893,MA,1349
MONROE,-72.960156,97,MA,1350
MONTAGUE,-72.532837,1699,MA,1351
NEW SALEM,-72.306241,456,MA,1355
NORTHFIELD,-72.450995,2829,MA,1360
NEW SALEM,-72.305867,8544,MA,1364
PETERSHAM,-72.189349,1131,MA,1366
ROWE,-72.925776,630,MA,1367
SHELBURNE FALLS,-72.739059,4525,MA,1370
SOUTH DEERFIELD,-72.615268,5118,MA,1373
SUNDERLAND,-72.567569,3399,MA,1375
TURNERS FALLS,-72.54701,7100,MA,1376
WENDELL,-72.400851,393,MA,1379
FITCHBURG,-71.803133,41194,MA,1420
ASHBURNHAM,-71.92666,5433,MA,1430
ASHBY,-71.817369,2649,MA,1431
AYER,-71.578763,6871,MA,1432
FT DEVENS,-71.621819,8480,MA,1433
BALDWINVILLE,-72.064647,4386,MA,1436
GARDNER,-71.9898,20125,MA,1440
GROTON,-71.558371,7504,MA,1450
HARVARD,-71.575293,4445,MA,1451
HUBBARDSTON,-72.001159,2797,MA,1452
LEOMINSTER,-71.756308,38145,MA,1453
LITTLETON,-71.487667,7066,MA,1460
LUNENBURG,-71.726642,9117,MA,1462
PEPPERELL,-71.593392,10178,MA,1463
SHIRLEY CENTER,-71.646444,6118,MA,1464
TEMPLETON,-72.064971,2058,MA,1468
TOWNSEND,-71.689646,6112,MA,1469
WESTMINSTER,-71.909599,6191,MA,1473
W TOWNSEND,-71.74057,2452,MA,1474
WINCHENDON,-72.047524,8805,MA,1475
AUBURN,-71.839144,15007,MA,1501
BERLIN,-71.635634,2293,MA,1503
BLACKSTONE,-71.52691,8023,MA,1504
BOYLSTON,-71.731042,3517,MA,1505
BROOKFIELD,-72.098887,2968,MA,1506
CHARLTON,-71.966384,9576,MA,1507
CLINTON,-71.682847,13269,MA,1510
EAST BROOKFIELD,-72.048078,2033,MA,1515
EAST DOUGLAS,-71.726611,5594,MA,1516
FISKDALE,-72.117764,774,MA,1518
GRAFTON,-71.686848,4910,MA,1519
HOLDEN,-71.84142,12051,MA,1520
HOLLAND,-72.154373,747,MA,1521
JEFFERSON,-71.87058,2478,MA,1522
